NGRAM,VALUE,
 ,0.01299581072000424
 Und,0.0005499696756621074
 hier,0.0005476310377783564
Das ist,0.0005304810266308491
 jetzt,0.000527752615766473
so ,0.0005238548859602213
Das ,0.000523075339998971
 sie,0.000513720788463967
 ja,0.0005133310154833418
 auf,0.0005129412425027167
noch ,0.0005028071450064624
und der,0.0004907241826070823
Herren ,0.00048643667982020553
dem ,0.00048526736087833004
dass die,0.00048370826895582935
 werden,0.0004802003121302029
sagen ,0.0004763025823239512
der der,0.00047513326338207573
schon ,0.0004720150795370744
 sehr,0.0004692866686726983
der und,0.00046616848482769696
 so,0.00045213665752519104
 um,0.0004513571115639407
 Damen,0.00044940824666081487
die in,0.0004486287006995645
 dem,0.00044551051685456325
Damen und,0.0004427821059901871
sich ,0.0004400536951258109
und Herren,0.0004377150572420599
und das,0.00043693551128080963
für die,0.00043537641935830894
Ich ,0.0004349866463776838
Damen Herren,0.0004345968733970586
 Prozent,0.00042991959762955664
des ,0.0004291400516683063
und auch,0.0004264116408039302
 kann,0.00042446277590080434
 bei,0.0004225139109976785
 denn,0.0004116002675401739
 muss,0.00040887185667579773
 Präsident,0.00040770253773392224
 uns,0.00040653321879204676
dass ,0.0004061434458114216
 als,0.0004045843538889209
hier ,0.0004014661700439196
an ,0.00039561957533454216
einmal ,0.0003948400293732918
nur ,0.0003917218455282905
 gibt,0.000390552526586415
ja ,0.000390552526586415
 nur,0.00038860366168328917
Präsident ,0.00038860366168328917
mehr ,0.0003878241157220389
 Da,0.0003874343427414137
diese ,0.0003839263859157872
sein ,0.0003827570669739117
in den,0.0003819775210126614
Frau ,0.00037340251543890776
 noch,0.0003730127424582826
Damen ,0.00037223319649703227
 weil,0.00037067410457453163
aus ,0.0003687252396714058
 schon,0.0003683354666907806
— das,0.0003675559207295303
Österreich ,0.0003656070558264045
jetzt ,0.00036131955303952767
dann ,0.0003589809151557767
auch die,0.0003578115962139012
 Sehr,0.000357421823233276
ist die,0.00035664227727202566
 Wenn,0.0003519650015045237
als ,0.00035001613660139787
ist der,0.00035001613660139787
kann ,0.00034728772573702175
gesagt ,0.00034455931487264557
um ,0.00034455931487264557
ist das,0.0003367638552601423
der die,0.00033364567141514097
bei ,0.0003320865794926403
 an,0.00033130703353139
einen ,0.00032935816862826416
 wo,0.0003274093037251383
— und,0.0003270195307445132
 heute,0.0003254604388220125
 sondern,0.00032351157391888666
uns ,0.00032351157391888666
 er,0.00032273202795763637
können ,0.00032234225497701117
Bundesminister ,0.0003215627090157609
 nämlich,0.0003211729360351357
das nicht,0.0003200036170932602
Jahr ,0.00031532634132575824
aber ,0.00030831042767450525
 aus,0.0003067513357520046
 Meine,0.00030402292488762844
gibt ,0.0003036331519070033
von der,0.00030324337892637815
in Österreich,0.00029856610315887614
sehr ,0.0002977865571976258
und in,0.0002966172382557503
 Bundesminister,0.00029505814633324967
in die,0.00029505814633324967
 einen,0.0002942786003719993
 Aber,0.00029077064354637286
 Der,0.00029038087056574766
ganz ,0.0002884320056626219
und nicht,0.0002872626867207464
Sie haben,0.0002845342758563702
 geht,0.00028414450287574507
ist ein,0.00028414450287574507
auch der,0.00028063654605011855
muss ,0.0002802467730694934
 einmal,0.0002775183622051172
da ,0.00027440017836011596
immer ,0.00027440017836011596
wie ,0.0002736206323988656
— ist,0.00027284108643761527
sie ,0.0002724513134569901
die nicht,0.0002716717674957398
es nicht,0.0002693331296119888
einer ,0.0002689433566313636
und ist,0.0002681638106701133
das der,0.0002669944917282378
der in,0.0002666047187476126
ist nicht,0.0002634865349026113
 des,0.000262706988941361
die zu,0.000262706988941361
 dieser,0.00026192744298011067
oder ,0.0002615376699994855
wieder ,0.0002615376699994855
geht ,0.0002607581240382352
sehr und,0.0002591990321157345
 war,0.00025608084827073317
 Ihnen,0.0002553013023094829
über ,0.0002553013023094829
sind die,0.00025335243740635705
— die,0.0002525728914451067
Herr Bundesminister,0.00025218311846448156
 natürlich,0.00025062402654198087
Ihnen ,0.0002502342535613557
ist eine,0.0002502342535613557
Herr Präsident,0.0002498444805807306
ist es,0.0002498444805807306
 diesem,0.00024906493461948024
 Österreich,0.0002486751616388551
dass es,0.00024789561567760475
keine ,0.00024750584269697955
zum ,0.0002471160697163544
Wir haben,0.0002447774318326034
dass der,0.00024321833991010277
 immer,0.00024126947500697693
 meine,0.00024087970202635176
etwas ,0.00024010015606510144
 zum,0.00023932061010385113
machen ,0.00023932061010385113
nicht die,0.00023893083712322595
Prozent ,0.00023854106414260078
dieser ,0.00023854106414260078
was ,0.00023698197222010012
zu und,0.00023698197222010012
dass wir,0.0002326944694332233
 Was,0.000231914923471973
heute ,0.00023074560453009748
und und,0.00023074560453009748
in und,0.00022918651260759684
Minister ,0.00022801719366572133
nichts ,0.00022762742068509618
mit der,0.000227237647704471
dass das,0.00022684787472384584
bis ,0.00022567855578197035
in diesem,0.00022489900982072003
und den,0.0002241194638594697
das die,0.00022372969087884452
und es,0.00022372969087884452
 Millionen,0.00022256037193696903
ist auch,0.00022217059895634385
das auch,0.00022100128001446837
ist und,0.00022100128001446837
der ist,0.00022061150703384322
Millionen ,0.00021983196107259288
 mich,0.0002194421880919677
sehr Herren,0.0002194421880919677
und wir,0.00021905241511134256
— ich,0.00021905241511134256
sehr Damen,0.0002186626421307174
 oder,0.0002174933231888419
war ,0.0002174933231888419
Sie nicht,0.00021710355020821673
ist dass,0.00021593423126634124
haben wir,0.0002151546853050909
 sagen,0.00021437513934384058
auf die,0.00021437513934384058
 habe,0.0002139853663632154
diesem ,0.00021242627444071474
müssen ,0.00021242627444071474
den und,0.00021125695549883926
vor ,0.00021125695549883926
 ganz,0.00021086718251821408
die von,0.00021047740953758894
 Kollege,0.00020930809059571342
 keine,0.00020930809059571342
 müssen,0.00020930809059571342
auch in,0.00020891831761508828
es die,0.0002085285446344631
 mehr,0.00020813877165383793
Wir ,0.00020813877165383793
bei der,0.00020813877165383793
es ist,0.00020813877165383793
 also,0.00020774899867321276
 vor,0.00020774899867321276
gibt es,0.00020774899867321276
Es ,0.00020735922569258762
wollen ,0.00020696945271196244
wissen ,0.00020657967973133727
 In,0.00020618990675071213
Meine und,0.00020580013377008696
und zu,0.00020541036078946178
 mir,0.0002050205878088366
wir haben,0.00020385126886696112
 einer,0.00020346149588633595
 heißt,0.0002030717229057108
Meine Damen,0.00020268194992508563
dass in,0.00020268194992508563
